structure_id,bridge_no,latitude,longitude
00200099,82/7C,46.935833,120.5063889
0008447B,90/101,47.41833266,121.41
00200020,90/102C,47.4026,121.4040389
0004074A,90/103C,47.39823577,121.3988497
0008447C,90/104,47.39669411,121.3974997
0017852B,90/105.5N,47.392083,121.3864163
0017852A,90/105.5S,47.39189688,121.3863719
0005203A,90/105N,47.393333,121.388333
0001140A,90/105S,47.39294411,121.3894441
0017852D,90/106N,47.390833,121.3838608
0017852C,90/106S,47.39135522,121.3854663
0017852F,90/107N,47.37261877,121.3763299
0017852E,90/107S,47.372791,121.3769021
0017852H,90/108CN,47.36752711,121.3722771
0017852G,90/108CS,47.36730488,121.3729993
0007565D,90/10E-N,47.59347188,122.3219438
