structure_id,bridge_no,latitude,longitude,pga
0009668A,5/548PN,47.6083,122.33,0.432303
0009839A,5/548PS,47.6083,122.33,0.432303
0009839B,5/548PW,47.6083,122.33,0.432303
0007409A,5/549,47.6106,122.331,0.431314
000000PJ,5/549CNC,47.6094,122.332,0.432024
0007409B,5/549E-N,47.6095,122.332,0.43196
0007409C,5/550,47.6125,122.331,0.430421
0007409D,5/551,47.6142,122.331,0.429542
0006635A,5/552,47.6159,122.33,0.428541
0006635B,5/553,47.6185,122.329,0.427276
0006635C,5/553E-S,47.6172,122.329,0.427876
0006635D,5/553R,47.6183,122.328,0.427195
0006635E,5/553REN,47.6178,122.329,0.427566
0006800E,5/555E-S,47.6252,122.329,0.423856
0006800D,5/555N-W,47.6231,122.328,0.424851
0006653A,5/555S-W,47.6229,122.329,0.424958
0008195A,5/556N-W,47.6254,122.33,0.423808
0006800B,5/562E,47.6264,122.328,0.42308
0006800C,5/564,47.6283,122.327,0.421918
